S No,College Name,Address,State,Contact No(s),E-Mail ID,Weblink
0,"Indian Institute of Technology Madras - [IITM], Chennai","Opposite to C.L.R.I., Beside The Adyar Cancer Institute, Sardar Patel Road, Adyar , Chennai - 600036 , Tamil Nadu ,India",Tamil Nadu,"044-22570509,22578280,22578000,22579000,9444008001,9444008002",regr@iitm.ernet.in,http://www.iitm.ac.in
1,"Loyola College, Chennai","Sterling Road, Near Nungambakkam Railway Station, Nungambakkam , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28178200,Office,Number,-,28178261,28178262",helpdesk@loyolacollege.edu,http://www.loyolacollege.edu
2,"Madras Medical College - [MMC], Chennai","E.V.R Periyar Salai, Park Town , Chennai - 600003 , Tamil Nadu ,India",Tamil Nadu,"044-25305000,25363970,25305238",mmcadmin@tn.gov.in,http://www.mmc.tn.gov.in/
3,"Presidency College, Chennai","Kamarajar Salai, Chepauk , Chennai - 600005 , Tamil Nadu ,India",Tamil Nadu,"044-28544894,28586401,28510732",contact@presidencychennai.com,http://www.presidencychennai.com
4,"Madras Christian College - [MCC], Chennai","Tambaram , Chennai - 600059 , Tamil Nadu ,India",Tamil Nadu,044-22390675,principal@mcc.edu.in,http://www.mcc.edu.in
5,"Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM], Chennai","4th Cross Street, C.I.T Campus, TTTI - P.O., Taramani , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,044-22542029,ihmchen@dataone.in,http://www.ihmchennai.org
6,"Department of Management Studies, IIT Madras - [DoMS IIT Madras], Chennai","Delhi Avenue , Chennai - 600036 , Tamil Nadu ,India",Tamil Nadu,044-22574550,doms@iitm.ac.in,http://www.doms.iitm.ac.in
7,"Sri Ramachandra University, Chennai","No.1 Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-45928500,24768027,24768031",deanfaculties@sriramachandra.edu.in,http://www.sriramachandra.edu.in/university/
8,"National Institute of Fashion Technology - [NIFT], Chennai","NIFT Campus, Rajiv Gandhi Salai, Taramani , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,"044-22542759,22542769",nift.chennai@nift.ac.in,http://www.nift.ac.in/chennai
9,"Great Lakes Institute of Management, Chennai","Dr. Bala V Balachandar Campus, ECR Road, Manamai , Chennai - 603102 , Tamil Nadu ,India",Tamil Nadu,"044-30809000,30809001",info@greatlakes.edu.in,http://www.greatlakes.edu.in
10,"Anna University, Chennai","Sardar Patel Road, Old Highways Building, Guindy , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,"044-22357077,22357073,22357076,22357264,22357265",deanceg@annauniv.edu,http://www.annauniv.edu
